"","from","to","type1","type2","gene1","gene2","db","pcl1","pcl2","pcl3"
"45","EEF1A1","ENSG00000163554","M","T","EEF1A1","SPTA1",FALSE,0.387016229712859,0.775280898876405,0.083645443196005
"46","EEF1A1","ENSG00000173692","M","T","EEF1A1","PSMD1",TRUE,0.51685393258427,0.730337078651685,0.425717852684145
"47","EEF1A1","ENSG00000151552","M","T","EEF1A1","QDPR",TRUE,0.408239700374532,0.405742821473159,0.675405742821473
"48","EEF1A1","ENSG00000196159","M","T","EEF1A1","FAT4",FALSE,0.344569288389513,0.217228464419476,0.870162297128589
"49","EEF1A1","ENSG00000156508","M","T","EEF1A1","EEF1A1",FALSE,0.528089887640449,0.695380774032459,0.463171036204744
"50","EEF1A1","ENSG00000146731","M","T","EEF1A1","CCT6A",TRUE,0.543071161048689,0.801498127340824,0.448189762796504
"51","EEF1A1","ENSG00000164924","M","T","EEF1A1","YWHAZ",TRUE,0.540574282147316,0.682896379525593,0.434456928838951
"52","EEF1A1","ENSG00000103197","M","T","EEF1A1","TSC2",TRUE,0.325842696629214,0.774032459425718,0.563046192259675
"53","EEF1A1","ENSG00000099804","M","T","EEF1A1","CDC34",TRUE,0.414481897627965,0.681647940074906,0.444444444444444
"54","EEF1A1","O14980","M","P","EEF1A1","XPO1",TRUE,0.455680399500624,0.419475655430712,0.737827715355805
"55","EEF1A1","P06702","M","P","EEF1A1","S100A9",FALSE,0.294631710362047,0.484394506866417,0.47565543071161
"56","EEF1A1","P40227","M","P","EEF1A1","CCT6A",TRUE,0.434456928838951,0.645443196004994,0.473158551810237
"57","EEF1A1","Q99460","M","P","EEF1A1","PSMD1",TRUE,0.732833957553059,0.548064918851436,0.575530586766542
"63","MUC16","ENSG00000113140","M","T","MUC16","SPARC",FALSE,0.295880149812734,0.282147315855181,0.898876404494382
"64","MUC16","O43741","M","P","MUC16","PRKAB2",FALSE,0.00998751560549313,0.449438202247191,0.862671660424469
"65","MUC16","Q13895","M","P","MUC16","BYSL",FALSE,0.317103620474407,0.870162297128589,0.15980024968789
"66","MUC16","Q07955_S201","M","PP","MUC16","SRSF1",FALSE,0.627965043695381,0.408239700374532,0.48314606741573
"67","MUC16","Q15149_S1435","M","PP","MUC16","PLEC",FALSE,0.3458177278402,0.714107365792759,0.193508114856429
"68","MUC16","Q14449_S372","M","PP","MUC16","GRB14",FALSE,0.282147315855181,0.297128589263421,0.888888888888889
"69","OBSCN","ENSG00000135925","M","T","OBSCN","WNT10A",FALSE,0.588014981273408,0.649188514357054,0.0973782771535581
"70","OBSCN","ENSG00000156508","M","T","OBSCN","EEF1A1",FALSE,0.282147315855181,0.797752808988764,0.263420724094881
"71","OBSCN","ENSG00000085719","M","T","OBSCN","CPNE3",FALSE,0.263420724094881,0.591760299625468,0.429463171036205
"72","OBSCN","ENSG00000106993","M","T","OBSCN","CDC37L1",FALSE,0.262172284644195,0.757802746566791,0.272159800249688
"73","OBSCN","ENSG00000140263","M","T","OBSCN","SORD",FALSE,0.81398252184769,0.247191011235955,0.234706616729089
"74","OBSCN","ENSG00000129250","M","T","OBSCN","KIF1C",FALSE,0.629213483146067,0.245942571785268,0.328339575530587
"75","OBSCN","P23229","M","P","OBSCN","ITGA6",FALSE,0.411985018726592,0.223470661672909,0.692883895131086
"76","OBSCN","P68104","M","P","OBSCN","EEF1A1",FALSE,0.519350811485643,0.674157303370786,0.279650436953808
"77","OBSCN","Q00796","M","P","OBSCN","SORD",FALSE,0.664169787765293,0.443196004993758,0.207240948813983
"78","OBSCN","Q13435_S436","M","PP","OBSCN","SF3B2",FALSE,0.228464419475655,0.119850187265918,0.896379525593009
"79","OBSCN","Q16566_T200","M","PP","OBSCN","CAMK4",FALSE,0.408239700374532,0.84019975031211,0.00499375780274657
"80","PCLO","ENSG00000147649","M","T","PCLO","MTDH",FALSE,0.240948813982522,0.777777777777778,0.229712858926342
"81","PCLO","O43175","M","P","PCLO","PHGDH",FALSE,0.358302122347066,0.893882646691635,0.00374531835205993
"82","PCLO","P37840","M","P","PCLO","SNCA",TRUE,0.724094881398252,0.244694132334582,0.585518102372035
"83","PCLO","Q5VST9","M","P","PCLO","OBSCN",TRUE,0.68789013732834,0.294631710362047,0.588014981273408
"84","PCLO","Q99460","M","P","PCLO","PSMD1",FALSE,0.284644194756554,0.31585518102372,0.857677902621723
"85","PCLO","Q9BUN8","M","P","PCLO","DERL1",FALSE,0.31210986267166,0.797752808988764,0.611735330836454
"86","PCLO","P46821_S832","M","PP","PCLO","MAP1B",TRUE,0.488139825218477,0.885143570536829,0.00249687890137328
"89","SPTA1","O75131","M","P","SPTA1","CPNE3",FALSE,0.446941323345818,0.81398252184769,0
"94","TP53","ENSG00000137077","M","T","TP53","CCL21",TRUE,0.199750312109863,0.736579275905119,0.848938826466916
"95","TP53","ENSG00000143384","M","T","TP53","MCL1",TRUE,0.627965043695381,0.395755305867665,0.398252184769039
"96","TP53","ENSG00000076258","M","T","TP53","FMO4",FALSE,0.227215980024969,0.262172284644195,0.898876404494382
"97","TP53","ENSG00000085719","M","T","TP53","CPNE3",FALSE,0.279650436953808,0.322097378277154,0.634207240948814
"98","TP53","ENSG00000048392","M","T","TP53","RRM2B",TRUE,0.434456928838951,0.468164794007491,0.865168539325843
"99","TP53","ENSG00000136997","M","T","TP53","MYC",TRUE,0.84769038701623,0.275905118601748,0.724094881398252
"100","TP53","ENSG00000185122","M","T","TP53","HSF1",TRUE,0.742821473158552,0.31960049937578,0.355805243445693
"101","TP53","ENSG00000167548","M","T","TP53","KMT2D",TRUE,0.392009987515606,0.333333333333333,0.887640449438202
"102","TP53","ENSG00000141027","M","T","TP53","NCOR1",TRUE,0.480649188514357,0.535580524344569,0.339575530586767
"103","TP53","P04792","M","P","TP53","HSPB1",TRUE,0.474406991260924,0.441947565543071,0.365792759051186
"104","TP53","Q7Z4W1","M","P","TP53","DCXR",TRUE,0.440699126092385,0.823970037453184,0
"105","TP53","P46821_S832","M","PP","TP53","MAP1B",TRUE,0.619225967540574,0.82521847690387,0.764044943820225
"106","TP53","Q13263_S473","M","PP","TP53","TRIM28",TRUE,0.772784019975031,0.337078651685393,0.263420724094881
"107","TP53","P06400_T356","M","PP","TP53","RB1",TRUE,0.64669163545568,0.540574282147316,0.234706616729089
"108","TSC2","ENSG00000120251","M","T","TSC2","GRIA2",TRUE,0.219725343320849,0.273408239700375,0.806491885143571
"109","TSC2","ENSG00000127083","M","T","TSC2","OMD",FALSE,0.249687890137328,0.802746566791511,0.329588014981273
"110","TSC2","ENSG00000169598","M","T","TSC2","DFFB",FALSE,0.344569288389513,0.565543071161049,0.374531835205993
"111","TSC2","ENSG00000204120","M","T","TSC2","GIGYF2",TRUE,0.451935081148564,0.347066167290886,0.474406991260924
"112","TSC2","ENSG00000168036","M","T","TSC2","CTNNB1",TRUE,0.64294631710362,0.00499375780274657,0.596754057428215
